Epoch 1/200
Total loss: 365.1308, Reconstruction loss: 357.5784, KL loss: 75.5237
Total loss: 351.8552, Reconstruction loss: 344.4977, KL loss: 73.5749
Total loss: 355.2645, Reconstruction loss: 347.8960, KL loss: 73.6846
Total loss: 346.8083, Reconstruction loss: 339.4242, KL loss: 73.8412
Total loss: 333.2664, Reconstruction loss: 325.8145, KL loss: 74.5186
Total loss: 341.2527, Reconstruction loss: 333.8282, KL loss: 74.2455
Total loss: 340.1666, Reconstruction loss: 332.8969, KL loss: 72.6977
Total loss: 349.6279, Reconstruction loss: 342.1068, KL loss: 75.2114
Total loss: 357.9236, Reconstruction loss: 349.9948, KL loss: 79.2874
Total loss: 320.1771, Reconstruction loss: 312.3843, KL loss: 77.9278
Total loss: 327.1542, Reconstruction loss: 319.2629, KL loss: 78.9137
Total loss: 328.5770, Reconstruction loss: 320.5050, KL loss: 80.7203
Total loss: 332.5330, Reconstruction loss: 324.9290, KL loss: 76.0398
Total loss: 322.9176, Reconstruction loss: 314.9584, KL loss: 79.5915
Total loss: 333.9561, Reconstruction loss: 325.8581, KL loss: 80.9809
Total loss: 351.9301, Reconstruction loss: 344.1287, KL loss: 78.0140
Total loss: 331.8379, Reconstruction loss: 323.8813, KL loss: 79.5658
Total loss: 354.7163, Reconstruction loss: 346.9355, KL loss: 77.8075
Epoch 5/200
Total loss: 319.2994, Reconstruction loss: 311.3028, KL loss: 79.9667
Total loss: 330.4278, Reconstruction loss: 322.2030, KL loss: 82.2483
Total loss: 338.7264, Reconstruction loss: 330.7989, KL loss: 79.2751
Total loss: 348.3145, Reconstruction loss: 340.2393, KL loss: 80.7517
Total loss: 332.6076, Reconstruction loss: 324.5056, KL loss: 81.0196
Total loss: 338.3410, Reconstruction loss: 330.2415, KL loss: 80.9954
Total loss: 319.2374, Reconstruction loss: 311.1223, KL loss: 81.1509
Total loss: 310.2551, Reconstruction loss: 302.2459, KL loss: 80.0915
Total loss: 325.3306, Reconstruction loss: 317.1433, KL loss: 81.8725
Total loss: 332.3596, Reconstruction loss: 324.0716, KL loss: 82.8795
Total loss: 326.1619, Reconstruction loss: 317.9727, KL loss: 81.8917
Total loss: 335.5059, Reconstruction loss: 327.2161, KL loss: 82.8982
Total loss: 348.6362, Reconstruction loss: 340.2624, KL loss: 83.7385
Total loss: 336.2152, Reconstruction loss: 327.9389, KL loss: 82.7627
Total loss: 339.2279, Reconstruction loss: 331.0729, KL loss: 81.5500
Total loss: 329.5355, Reconstruction loss: 321.3608, KL loss: 81.7469
Total loss: 319.4830, Reconstruction loss: 311.1783, KL loss: 83.0472
Total loss: 323.8097, Reconstruction loss: 315.4038, KL loss: 84.0584
Total loss: 334.4823, Reconstruction loss: 325.9479, KL loss: 85.3438
Total loss: 326.1777, Reconstruction loss: 317.9109, KL loss: 82.6680
Total loss: 349.1110, Reconstruction loss: 340.5927, KL loss: 85.1828
Total loss: 332.4988, Reconstruction loss: 323.7862, KL loss: 87.1266
Total loss: 340.3723, Reconstruction loss: 332.1300, KL loss: 82.4227
Total loss: 317.7074, Reconstruction loss: 309.2130, KL loss: 84.9441
Total loss: 314.2688, Reconstruction loss: 305.7146, KL loss: 85.5418
Total loss: 317.6943, Reconstruction loss: 309.0122, KL loss: 86.8209
Total loss: 329.1466, Reconstruction loss: 320.4056, KL loss: 87.4098
Total loss: 337.2414, Reconstruction loss: 328.5239, KL loss: 87.1751
Total loss: 301.4647, Reconstruction loss: 292.8358, KL loss: 86.2895
Total loss: 351.8170, Reconstruction loss: 343.0147, KL loss: 88.0227
Total loss: 325.2680, Reconstruction loss: 316.6573, KL loss: 86.1077
Total loss: 324.5211, Reconstruction loss: 315.6587, KL loss: 88.6236
Total loss: 317.6859, Reconstruction loss: 309.0139, KL loss: 86.7200
Total loss: 351.7396, Reconstruction loss: 342.8391, KL loss: 89.0044
Total loss: 313.8235, Reconstruction loss: 305.0882, KL loss: 87.3522
Total loss: 324.4126, Reconstruction loss: 315.4023, KL loss: 90.1025
Total loss: 318.2567, Reconstruction loss: 309.4591, KL loss: 87.9750
Total loss: 313.4375, Reconstruction loss: 304.5014, KL loss: 89.3608
Total loss: 316.1649, Reconstruction loss: 307.3586, KL loss: 88.0625
Total loss: 326.8354, Reconstruction loss: 317.7719, KL loss: 90.6346
Total loss: 307.4719, Reconstruction loss: 298.3732, KL loss: 90.9867
Total loss: 319.7312, Reconstruction loss: 310.8611, KL loss: 88.7011
Total loss: 324.9426, Reconstruction loss: 315.8685, KL loss: 90.7414
Total loss: 314.2000, Reconstruction loss: 305.1670, KL loss: 90.3307
Total loss: 326.2195, Reconstruction loss: 316.9855, KL loss: 92.3401
Total loss: 312.8793, Reconstruction loss: 303.5536, KL loss: 93.2565
Total loss: 335.6815, Reconstruction loss: 326.3195, KL loss: 93.6194
Total loss: 330.7924, Reconstruction loss: 321.6581, KL loss: 91.3423
Total loss: 325.7818, Reconstruction loss: 316.6249, KL loss: 91.5688
Total loss: 322.7310, Reconstruction loss: 313.5507, KL loss: 91.8026
Total loss: 314.5954, Reconstruction loss: 305.2765, KL loss: 93.1893
Total loss: 314.2307, Reconstruction loss: 304.9608, KL loss: 92.6997
Total loss: 312.3931, Reconstruction loss: 303.3257, KL loss: 90.6742
Total loss: 327.3470, Reconstruction loss: 318.0299, KL loss: 93.1705
Total loss: 326.1858, Reconstruction loss: 316.4646, KL loss: 97.2117
Total loss: 298.6472, Reconstruction loss: 289.1646, KL loss: 94.8254
Total loss: 304.1893, Reconstruction loss: 294.6672, KL loss: 95.2203
Total loss: 306.6402, Reconstruction loss: 296.9328, KL loss: 97.0738
Total loss: 309.3681, Reconstruction loss: 300.0816, KL loss: 92.8651
Total loss: 297.7776, Reconstruction loss: 288.1011, KL loss: 96.7646
Total loss: 312.8380, Reconstruction loss: 302.9776, KL loss: 98.6036
Total loss: 321.4174, Reconstruction loss: 311.7994, KL loss: 96.1797
Total loss: 308.5605, Reconstruction loss: 298.7161, KL loss: 98.4438
Total loss: 322.1033, Reconstruction loss: 312.4539, KL loss: 96.4936
Epoch 6/200
Total loss: 299.1041, Reconstruction loss: 289.3025, KL loss: 98.0158
Total loss: 307.8365, Reconstruction loss: 297.8552, KL loss: 99.8138
Total loss: 313.3824, Reconstruction loss: 303.7256, KL loss: 96.5678
Total loss: 327.1754, Reconstruction loss: 317.4765, KL loss: 96.9892
Total loss: 312.9692, Reconstruction loss: 303.2539, KL loss: 97.1532
Total loss: 314.7335, Reconstruction loss: 304.9665, KL loss: 97.6695
Total loss: 299.8323, Reconstruction loss: 290.0698, KL loss: 97.6250
Total loss: 295.8866, Reconstruction loss: 286.1992, KL loss: 96.8731
Total loss: 302.4240, Reconstruction loss: 292.5010, KL loss: 99.2302
Total loss: 309.8720, Reconstruction loss: 299.7992, KL loss: 100.7285
Total loss: 308.7349, Reconstruction loss: 298.7953, KL loss: 99.3961
Total loss: 316.4944, Reconstruction loss: 306.4969, KL loss: 99.9754
Total loss: 328.2100, Reconstruction loss: 318.1392, KL loss: 100.7081
Total loss: 311.5385, Reconstruction loss: 301.5405, KL loss: 99.9798
Total loss: 319.3001, Reconstruction loss: 309.4370, KL loss: 98.6312
Total loss: 306.4276, Reconstruction loss: 296.4685, KL loss: 99.5914
Total loss: 296.4438, Reconstruction loss: 286.3063, KL loss: 101.3746
Total loss: 302.4882, Reconstruction loss: 292.2405, KL loss: 102.4761
Total loss: 318.2919, Reconstruction loss: 307.9081, KL loss: 103.8383
Total loss: 308.4901, Reconstruction loss: 298.4423, KL loss: 100.4785
Total loss: 319.6537, Reconstruction loss: 309.3852, KL loss: 102.6858
Total loss: 313.9420, Reconstruction loss: 303.4733, KL loss: 104.6871
Total loss: 312.2139, Reconstruction loss: 302.2328, KL loss: 99.8114
Total loss: 292.6096, Reconstruction loss: 282.3223, KL loss: 102.8736
Total loss: 297.5239, Reconstruction loss: 287.1151, KL loss: 104.0880
Total loss: 298.2069, Reconstruction loss: 287.6268, KL loss: 105.8013
Total loss: 313.1192, Reconstruction loss: 302.5206, KL loss: 105.9861
Total loss: 315.4588, Reconstruction loss: 304.8813, KL loss: 105.7752
Total loss: 287.7427, Reconstruction loss: 277.3313, KL loss: 104.1142
Total loss: 328.1659, Reconstruction loss: 317.4858, KL loss: 106.8013
Total loss: 303.0391, Reconstruction loss: 292.7024, KL loss: 103.3674
Total loss: 307.7983, Reconstruction loss: 297.1739, KL loss: 106.2438
Total loss: 296.1177, Reconstruction loss: 285.6786, KL loss: 104.3913
Total loss: 329.3464, Reconstruction loss: 318.6877, KL loss: 106.5876
Total loss: 301.5095, Reconstruction loss: 290.9914, KL loss: 105.1813
Total loss: 306.3167, Reconstruction loss: 295.4832, KL loss: 108.3356
Total loss: 299.8503, Reconstruction loss: 289.2058, KL loss: 106.4454
Total loss: 289.5999, Reconstruction loss: 278.8338, KL loss: 107.6617
Total loss: 295.6696, Reconstruction loss: 285.0886, KL loss: 105.8096
Total loss: 313.3425, Reconstruction loss: 302.4489, KL loss: 108.9354
Total loss: 287.5216, Reconstruction loss: 276.5958, KL loss: 109.2579
Total loss: 298.4865, Reconstruction loss: 287.8443, KL loss: 106.4225
Total loss: 298.8038, Reconstruction loss: 287.9016, KL loss: 109.0224
Total loss: 289.4098, Reconstruction loss: 278.5544, KL loss: 108.5542
Total loss: 304.2891, Reconstruction loss: 293.2609, KL loss: 110.2819
Total loss: 294.2402, Reconstruction loss: 283.1769, KL loss: 110.6335
Total loss: 317.0419, Reconstruction loss: 305.9670, KL loss: 110.7493
Total loss: 312.6844, Reconstruction loss: 301.8040, KL loss: 108.8044
Total loss: 306.4562, Reconstruction loss: 295.4724, KL loss: 109.8373
Total loss: 301.2416, Reconstruction loss: 290.2697, KL loss: 109.7196
Total loss: 303.6668, Reconstruction loss: 292.5283, KL loss: 111.3858
Total loss: 299.3139, Reconstruction loss: 288.2973, KL loss: 110.1664
Total loss: 298.7281, Reconstruction loss: 287.9693, KL loss: 107.5881
Total loss: 306.3196, Reconstruction loss: 295.2916, KL loss: 110.2800
Total loss: 311.5208, Reconstruction loss: 300.0618, KL loss: 114.5908
